ID,Full Name,Last Update,Accepted Content Types,Certificate or Labels,Closure Date,Contact,Description,Disciplinary Scope,Keywords,Launch Date,OAI-PMH URL,OpenDOAR ID,Platform,Platform Languages,Record Count,Repository Type,Service Pricing,Short Name,Status,Terms of Use,URL,Accessibility Of Conflict Of Interest Procedures,Business Model,Funding,Objectives,Owner Country,Owner Full Name,Owner Short Name,Owner URL,Ownership Type,Scientific/Technical Committees,User Committees,Access to content,Access to metadata,Account Creation,Backups,Functional Description,Interoperability,Metadata Format(s),Metadata Languages,Metadata Properties,Method For Re-use Of Metadata,Open Source?,Permission For Re-use Of Metadata,Persistence of Content,Preservation Policy,Academic Applicant Only,Accepted Content Formats,Accepted Content Languages,Accepted Content Level,Accepted Supplementary Content,Associated Editor,Associated Journal,Author PID,Availability of Associated Content,Journal Submission,Licensing,Mechanisms To Report Concerns About Content,Mechanisms To Report Concerns About Plagiarism,Moderation,Peer-review Status Indication,Persistent Identifier,Text Embargo,Time from submission to posting,Versioning Policy,Who Can Deposit?,Withdrawal Policy,Withdrawal Authorisation,Remining Indrawn Item,Editorial Notes,
pci,PCI (Peer Community In),2022-02-11,,,,,A free recommendation process of scientific preprints based on peer-reviews,,,,,,,,,,,,,,https://peercommunityin.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More a peer review service than a directory as such,
peerj_preprints,PeerJ Preprints,2022-02-11,"Journal Articles, Preprints",None,"Closed in 2019 : "" As the community’s appetite for preprints has now been cemented, we too want to focus our efforts more fully on our portfolio of peer-reviewed journals and primary mission.""",support@peerj.com,"Initially, developed as preprint server for PeerJ submissions","Biology, medicine","Medicine, Biology, Life Sciences, Peer J",2013-04-01,,,open_science_framework,English,Full text : 5 068,Disciplinary,None,,Closed to submission only,Yes,https://peerj.com/preprints/,No,For-profit,Supported by associated journal publishing (PeerJ),,The United States of America and United Kingdom,Peer J,,https://peerj.com/,Publishing organisation (publisher),Yes : includes researchers , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Not necessary to access the content,,No,,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), Author affiliation(s), Funder acknowledgement(s), License type(s), Subject category",Openly available via Crossref,No,,Yes : Preprints permanently archived in Portico,All published content will be fully accessible and archived by PeerJ and their partners,No,PDF,English,Research or scholary content,Associated files (data and software) can be uploaded at the time of submission and will be hosted alongside the paper.,PeerJ,PeerJ Journals,No,Material associated with preprint is hosted also by the platform,Preprint must be published in PeerJ family of journals,"Authors are provided with a choice of licenses: CC0, CC BY, with CC BY preferred",Email Administrator,Email administrator,"Misconduct or integrity checks, Legal compliance, Ethical compliance",Yes,"DOI, each version receives its own non-DOI citable identifier",No,,Accepts any new versions until publication in a journal. All version are visible,,Yes,Platform,Basic information remains on a tombstone page,No longer receive submission,
philsci_archive,Philsci Archive,2022-02-11,"Journal Articles, Conference and Workshop Papers, Books, Chapters and Sections, Preprints",None,,philsci-archive@mail.pitt.edu,"Welcome to PhilSci-Archive, an electronic archive specifically tailored to and run by philosophers of science. The archive is offered as a free service to the philosophy of science community. Its goal is to promote communication in the field by the rapid dissemination of new work.",Philosophy of Science,"Philosophy, archive",2001,http://philsci-archive.pitt.edu/cgi/oai2,X,custom_software,English,Full text : 9 031,Disciplinary,None,PS,Open,Yes,http://philsci-archive.pitt.edu/,No,Nonprofit,Internal funding,"The reinvented Hillman Library will be a light-filled facility showcasing unique collections, advancing academic study, and fostering collaborative exchange.",The United States of America,University of Pittsburgh,UP,http://www.pitt.edu/,Academic institution,"Yes : The Board is comprised of philosophers of science with recognized standing in the profession Board members are appointed for three year, renewable terms. Membership of the Board and extension of membership term is by invitation from a consensus of current Board members. The Board’s Executive Committee consists of an Editor-in-Chief and two board members whose terms are staggered. Each is appointed for a renewable three year term by a consensus of current Board members. For more information : http://philsci-archive.pitt.edu/information.html", ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,Yes : The repository regularly backs up its file according to current best practices,Yes : Tutorials on Q&A page,No,Yes : Formats are available on this page,English and German,"Title, Author(s), Abstract, Item Type, Keywords, Subjects, Depositing User, Date Deposited, Last Modified, Item ID, URI",Openly available via API,Yes,"Allowed, with conditions: The OAI Identifier and/or a link to the original metadata must be given. For commercial use : Requires Formal Permission",Yes : The repository will try to ensure continued readability and accessibility,,Yes,"PDF, Word doc, HTML, LaTeX",English,Research only,Supplementary data can be associated on the same page,No,No,ORCID,Material associated with preprint is hosted also by the platform,Unrestricted,The archive will only post postprints published under a Creative Commons license.,Email administrator,No,Beforehand : relevance to the scope of the repository is checked,No,URI,"No, only if the publisher imposes an embargo period",Up to two business days for a paper and up to one to two weeks for a monograph,"If necessary, an updated version may be deposited",Accredited Community Members,Yes,Platform,"URLs will continue to point to 'tombstone' citations, URLs will contain a link to a replacement version, where available, URLs will contain a note explaining the reasons for withdrawal",,
preprints_org,Preprints.org,2022-02-11,"Journal Article, Reviews, Data articles, Case Reports, Preprints",None,,info@preprints.org,Preprints is a platform dedicated to making early versions of research outputs permanently available and citable.,All scientific fields,"Multidisciplinary, Citable preprints",2020-05-01,,,invenio,English,Full text : 21 880,Multidisciplinary,None,,Open,Yes,https://www.preprints.org/,Yes : Preprints applies the ICMJE definition of a conflict of interest.,Nonprofit,Internal funding : Supported by associated journal publishing,"Based in Basel, Switzerland, MDPI has the mission to foster open scientific exchange in all forms, across all disciplines.",Switzerland,Multidisciplinary Digital Publishing Institute,MDPI,https://www.mdpi.com/,Publishing organisation (publisher),"Yes : It includes research from a wide range of subjects (Art & Humanities, Behavorial Sciences, Biology, Chemistry, Earth Sciences, Engineering, Lifes sciences, Material Science, Mathematics & Computer Science, Medicine & Pharmacology, Physcial Sciences, Social Sciences) You can contact info@preprints.org with a copy of your CV to make an application.", ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,"Free, Only needed for submission",Yes : Preprints permanently archived in Portico,Yes : Instructions for authors,No,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication, License type(s)",Openly available via Crossref,No,None,Yes : Preprints permanently archived in Portico,,Yes,"Word doc, LaTeX",English,Research only,"The graphic should be provided as a JPG, PNG or GIF file.  Authors can upload supplementary materials in any format along with their preprint (up to 50 MB per file).",No,No,ORCID,Research data are motivated to be available with the prepint. Encourage using Re3Data to find the best data repository.,Unrestricted,Authors must use CC BY license. Preprints that pass the screening process are posted online in open access format under a Creative Commons CC BY 4.0 license.,Email administrator,Email administrator,"Beforehand : Content within scope, All authors notified, Data is available (if applicable), Code is available (if applicable), Text overlap detection, Legal compliance, Ethical compliance. Staff and Volunteer are in charge of the screening process",Yes,DOI,"No, only if the publisher imposes an embargo period",Up to 24h,Accepts news version : Each version receives its own DOI and own non-DOI citable identifier,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Platform,"Basic information remains on a tombstone page if DOI has been issued, otherwise no web presence retained",,
preprints_ru,Preprints.ru,2022-02-11,"Journal Articles, Preprints",None,,,Preprint server for interdisciplinary research in Russia,All scientific fileds,"Russia, Russian Research",2019,,,,English and Russian,Full text : 174,Multidisciplinary,None,,Open,No,https://preprints.ru/,No,Nonprofit,,"NEICON aims to provide Russian organizations with expert, consulting and service support in the field of information for research and education and a full range of services related to access, development, dissemination and storage of scholarly information in electronic form",Russia,NEICON. Electronic information,NEICON,https://neicon.ru/en/,Scientific Society, , ,Anyone may access full items free of charge,,Only needed for submission,,No,No,No,,"Title, Author(s), Identifier, Abstract, Date of deposited, Version, Subject(s), Keyword(s), View(s)",,No,,,,Yes,PDF,English and Russian,Research only,,No,No,ORCID,,Unrestricted,,,,,Yes,DOI,"No, only if the publisher imposes an embargo period",,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,No,,,,
preprints_with_the_lancet,Preprints with The Lancet,2022-02-11,Preprints,None,,preprints@lancet.com,"In 2018, the Lancet journals initiated a collaboration with the research sharing platform SSRN to offer authors a dedicated preprint area called Preprints with The Lancet. Preprints available here are not Lancet publications or necessarily under review with a Lancet journal.",Medicine,"The Lancet, Medicine, Elsevier",2018-06-01,,,dspace,English,Full text : 8 719,Disciplinary,Yes : To access full content of text,,Open,No,https://www.thelancet.com/preprints,No,For-profit,Internal funding,"SSRN is joining Mendeley and Elsevier to coordinate our development and delivery of new products and services, and we look forward to our new access to data, products, and additional resources that this change facilitates",The Netherlands,Elsevier,,https://www.elsevier.com,Publishing organisation (publisher), , ,"Reader can view basic content (title, abstract) without account but must register to view and download full content",,Needed for reading,,No,No,,,,,No,,,,Yes,PDF,English,Research only,,Elsevier,The Lancet portfolio of titles,ORCID,,Preprint must be published in Lancet family of journals,,Email administrator,No,"Before hand : Content within scope, Competing interests, Funder acknowledgement, Clinical trial registration",Yes,DOI or URL,"No, only if the publisher imposes an embargo period",Up to 2 weeks,Accepts first submission only,You must be appliant to Lancet Journals,Yes,Platform,,Editor platform (The Lancet),
propylaeumdok,PropylaeumDok,2022-02-11,"Journal Articles, Theses and Dissertations, Books, Chapters and Sections, Preprints",None,,Emails available on this page,"Propylaeum-DOK - Digital Repository Classical Studies is the full-text server of the Specialized Information Service Classics and is made available by the University Library of Heidelberg. It offers members of the academic community worldwide the opportunity to publish their texts in electronic format on the internet at no charge. All kinds of publications (like monographs, articles, lectures) in the fields of Classical Studies can be stored on ""Propylaeum-DOK"".","History, Archaeology and Classical studies research","Classical Studies, History",2007,http://archiv.ub.uni-heidelberg.de/propylaeumdok/cgi/oai2,X,custom_software,English and German,Full text : 4 932,Disciplinary,None,,Open,No,http://archiv.ub.uni-heidelberg.de/propylaeumdok/,No,Nonprofit,Internal funding,"Firmly rooted in its history, the University is committed to expanding and disseminating our knowledge about all aspects of humanity and nature through research and education. The University upholds the principle of freedom of research and education, acknowledging its responsibility to humanity, society, and nature.",Germany,Heidelberg University Library,,https://www.ub.uni-heidelberg.de/,Academic institution, , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,No,Yes via API,Yes : Formats are available on this page,English and German,"Title, Author(s), Document type, Version, Date Deposited, Faculties / Institute, Subject, Countries/Regions",Openly available via API,Yes,,,,Yes,PDF,English and German,,,No,No,No,,Unrestricted,Authors are provided with a choice of licenses but CC BY 4.0 is preferred,,No,,No,DOI or URN,"No, only if the publisher imposes an embargo period",,Accepts new version.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,,,,,
psyarxiv,PsyArXiv,2022-02-11,"Working papers, unpublished work, and articles under review (preprints)",None,,support+psyarxiv@osf.io,A free preprint service for the psychological sciences,"Engineering Psychology, Life Sciences, Meta-science, Neuroscience, Psychiatry, Social and Behavioral Sciences","Pyschology, OSF",2016-09-01,,,highwire_preprint_and_benchpress,English,Full text : 16 187,Disciplinary,None,,Open,No,https://psyarxiv.com/,No,Nonprofit,External financial support,The Society for the Improvement of Psychological Science (SIPS) brings together scholars working to improve methods and practices in psychological science.,The United States of America,The Society for the Improvement of Psychological Science and Center for Open Science,SIPS,http://improvingpsych.org/,Professional organization,Yes : Scientific Advisory Board , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,"Free, Only needed for submission",Yes : COS Preservation Fund to maintain read access for 50+ years,No,Yes via API,No,English,"Title, Author(s), Abstract",,Yes,None,Yes : COS Preservation Fund to maintain read access for 50+ years,,Yes,PDF,English,Research only,Supplementary data can be associated on the same page,No,No,ORCID,Material associated with journal is hosted also by the platform,Unrestricted,"CC0 (specifically, CC0 1.0 Universal), which places work in the public domain, and CC-By (CC-By Attribution 4.0 International) which allows others to use and build on a work as long as they give the original author credit.",Email administrator,,,No,DOI,"No, only if the publisher imposes an embargo period",About 72 hours,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,No,,,Powered by OSF preprint,
qeios,Qeios,2022-02-11,,,,,"Create beautiful, SEO-friendly preprints, instantly post them, and get your research into the best possible shape with the early feedback from peers.",,,,,,,,,,,,,,https://www.qeios.com/teaser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It's more of a social network than a preprint directory,
repec,RePEc,2022-02-11,,,,,RePEc (Research Papers in Economics) is a collaborative effort of hundreds of volunteers in 102 countries to enhance the dissemination of research in Economics and related sciences.,,,,http://oai.repec.openlib.org/,X,,,,,,,,,http://repec.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_square,Research Square,2022-02-11,"Multiple article types (including research articles, systematic reviews, method articles, data articles), Preprints",None,,Communication tools,"Research Square lets you share your work early, gain feedback from the community, and start making changes to your manuscript prior to peer review in a journal.",All academic fields,"Sharing of the work, Feedback from the community, Manuscript improvement",2018-10-01,,,custom_software,English,Full text : 88 442,Multidisciplinary,None,,Open,Yes,https://www.researchsquare.com/,"Yes, Code of Conduct",For-profit,Other business model not based on direct preprinting charges or associated journal publishing (publishing services by Research Square),"At Research Square Company, we're committed to making research communication faster, fairer, and more useful. We do this by developing innovative software and high quality services for the global research community. Our growing team of researchers and industry professionals works together to solve the most critical problems facing scientific publishing.",The United States of America,Research Square,,https://company.researchsquare.com/,Publishing services organisation,Yes : scientists are part of the advisory board  ,Yes : Advisory Board ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,"Free, Only needed for submission",Yes : Preprints permanently archived in Portico,Yes via Q&A,Yes via API (JSON),None or Cross Ref Medata format,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Author affiliation(s), Funder acknowledgement(s), Subject category, Full-text content, References, License type(s), Relational link to journal publication version (where it exists)",Openly available via Crossref,No,None,Yes : Preprints permanently archived in Portico,,Yes,"doc, docx, RTF, Tex/LaTeX. Accepts Tex and pdf but these cannot yet be converted to html",English,Research only,"data set can be associated to the file under the same DOI. Videos and protocols can also be associated via ""associated publications"" (not captured in metadata)","Submit directly or upon submission to BMC journals, Nature journals, and others from Springer Nature portfolio listed at https://www.researchsquare.com/journals","Submit directly or upon submission to BMC journals, Nature journals, and others from Springer Nature portfolio listed at https://www.researchsquare.com/journals",ORCID,Supplementary files are gathered within the platform,Unrestricted,Authors must use CC BY license,Email administrator,Email administrator,"Checks are conducted for alarming, potentially dangerous, or highly controversial claims; pseudoscience; biosecurity threats; ethic approval where needed; personal identifiers",Yes,DOI,"No, only if the publisher imposes an embargo period",Between 24h to 48h,Accepts new version. All version are archived and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Platform,"For withdrawals, v2 is posted with withdrawal notice but v1 still fully visible. For removals, v1 is replaced by removal notice.",,
researchgate,ResearchGate,2022-02-11,,,,,"ResearchGate is the professional network for scientists and researchers. Over 20 million members from all over the world use it to share, discover, and discuss research. We're guided by our mission to connect the world of science and make research open to all.",,,,,,,,,,,,,,https://www.researchgate.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It's more of a social network than a preprint directory,
rinarxiv,RinarXiv,2022-02-11,"Preprints, postprints, essay, datasets",None,,,"RINarxiv Beta Release 2.0 is a community-led digital archive for unpublished preprints of Indonesian research communication. RINarxiv is dedicated to foster research and collaboration among Indonesian scientists, enhance the visibility of Indonesian research output and to increase openness.",All scientific fields,"Indonesia, Indonesian Research",2020-05-21,,,,English and Indonesian,Full text : 51,"Multidisciplinary, National Common open archive platform",None,,Open,No,https://rinarxiv.lipi.go.id/lipi,No,Nonprofit,Completely free: supported by volunteers and hosted by gov't institution. We use Open Preprint System platform.,,Indonesia,Indonesia open science team,,,Academic community group,Yes : includes researchers , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,No,No,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), License type(s), Subject category",Openly available via API,Yes,None,In future development,,Yes,"PDF, Word doc, LaTeX, MarkDown","English, Indonesian",Research only,"RINarxiv is a platform to support research dissemination which allows you to share data and other supporting materials (eg: figures, illustrations, sketches, photos, spatial dataset).",No,No,ORCID,,Unrestricted,"Authors are provided with a choice of licenses: GNU Lesser General Public License (LGPL) 3.0, BSD 3-Clause ""New""/""Revised"" License, BSD 2-Clause ""Simplified"" License, GNU Lesser General Public License (LGPL) 2.1, CC BY Attribution 4.0 International, Artistic License 2.0, CC0 1.0 Universal, Apache License 2.0, Mozilla Public License 2.0, Academic Free License (AFL) 3.0, Eclipse Public License 1.0, MIT License, GNU General Public License (GPL) 3.0, GNU General Public License (GPL) 2.0, No license, with CC BY preferred",Admins,Email administrator,"In retrospect : Doc type, data availability, Author Declaration,",No,"Persistent link (non DOI), support versioning with single link","No, only if the publisher imposes an embargo period",Up to three days,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Platform,Basic information remains on a tombstone page,Still in beta mode,
rutgers_optimality_archive,Rutgers Optimality Archive,2022-02-11,"Papers, monographs, dissertations, and may extend to handouts and slides if these are detailed enough to allow full reconstruction of claims and arguments, Preprints",None,,rutgers.optimality.archive@gmail.com,A distribution point for research in Optimality Theory and its conceptual affiliates,Optimality Theoryand related theories of grammar.,"Optimality Theory, Language and Literature",1993,,X,figshare_digital_science_preprint_framework,English,Full text : 1 386,Disciplinary,None,ROA,Open,Yes,https://roa.rutgers.edu/,No,Nonprofit,Internal funding,,The United States of America,"Rutgers, The State University of New Jersey",,https://www.rutgers.edu,Academic institution, , ,Anyone may access full items free of charge,,Only needed for submission,,No,,No,English,"ROA, Title, Author(s), Abstract, Length, Type, Keywords, Comment(s)",,No,,,,Yes,PDF,English,Research only,,No,No,No,,Unrestricted,"In posting to the Rutgers Optimality Archive (ROA), the author or authors affirm that ROA has the right to physically possess an electronic copy of their manuscript and the right to make it available for download over the internet, without charge or other limitations on access.",,No,"In retrospect : any paper which is deemed not relevant to the above-stated goals, or which is deemed to violate normal academic standards of discourse.",No,ROA,"No, only if the publisher imposes an embargo period",,Accepts new version. All versions are linked and visible to everyone,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,At author's request,"Title and author information will remain, with an indication that the paper has been withdrawn.",,
scielo_preprints,SciELO Preprints,2022-02-11,"Multiple article types (including research manuscripts, review papers, case studies, opinion papers, dataset description papers), Preprints",None,,scielo.submission@scielo.org,"SciELO Preprints Collection is an integral part of SciELO, an international cooperation program aiming at the development of open access scientific communication covering all areas of knowledge. It operates as a collection of non-peer-reviewed manuscripts within the SciELO Network of national and thematic collection of journals.","Agriculture sciences; Applied social sciences; Biological sciences; Engineering; Exact and earth sciences; Health sciences; Human sciences; Linguistic, literature and arts; and, Interdisciplinary.","Multidisciplinary, SciELO, Spanish, Portuguese",2020-04-07,,,custom_peerj_preprints_software,"English, Spanish and Portuguese",Full text : 13 713,Multidisciplinary international cooperation program,None,,Open,Yes,https://preprints.scielo.org/index.php/scielo,No,Nonprofit,Internal financial support (SciELO Program),Offer an infrastructure for posting preprints as an integral part of the research communication flow.,Brazil,SciELO and FAPESP Program,,https://scielo.org/,Research infrastructure program,"Yes : includes researchers As this position changes within our journals, their roles as area moderators in SciELO Preprints can also change. An area moderator can request to leave the board at any time.","Yes : board of moderators is composed by Editor-in-Chiefs of the SciELO journals or someone appointed by them. As this position changes within our journals, their roles as area moderators in SciELO Preprints can also change. An area moderator can request to leave the board at any time.",Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,The backup is done daily. We use a backup software called ArcServe to do the backup flow. Also we have a Disaster Recovery plan in case of the Datacenter failure.,No,,No,"English, Spanish and Portuguese","Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), License type(s)",Openly available via API,Yes,,Yes : All content is preserved using Archivematica,The preservation flow is: -creating a webarchiving file in WARC format every week; -The files are saved in datasets in Dataverse. - Once we saving the files in Datasets we use Archivematica to do the preservation. The AIP (Archival Information Package) are saved in AWS S3 (AWS guarantee the files are saved in 3 different locations).,Yes,PDF or XML Publishing Schema,"English, Portuguese, Spanish (But the title, abstract and keywords must be provided with their respective English translations)",Research only,,No,No,ORCID,"Authors are strongly recommended to make available all subjacent data, codes and other materials that support the methods, results and conclusions of the manuscript.",Unrestricted but submission is facilitated for any journal using a SWORD (Simple Web-service Offering Repository Deposit) protocol-based manuscript submission platform,Authors must use CC BY license,"Automated, Staff, Volunteers that takes responsibility for screening or Email administrator",Email administrator,"Beforehand : Content within scope, Manuscript is complete (methods, references), All authors notified, Legal compliance, Ethical compliance, Originality, Potential for harm if posted",Yes,"URL only, single DOI retained for all versions","No, only if the publisher imposes an embargo period",A few days,"Accepts new versions of content until acceptance at journal.  OPS always operates with the latest preprint version, but each version keeps a connection with the previous one, so that all versions are kept on the server",Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,"At authors' request, if properly justified",The metadata and the reason for retraction remain on the server;,Part of SciELO program - Open Access Journal,
science_open,Science Open,2022-02-11,"Journal articles, Preprints",None,,info@scienceopen.com,"ScienceOpen is a discovery platform with interactive features for scholars to enhance their research in the open, make an impact, and receive credit for it. We provide context building services for publishers, to bring researchers closer to the content than ever before.",All scientific fields,"Science Open, Repository",2013,,,,English,Full text : 2 140,Aggregating,None,,Open,Yes,https://www.scienceopen.com/,No,Nonprofit,Internal funding,,Germany,ScienceOpen,,https://www.scienceopen.com/,,Yes : Advisory and Editorial group. For more information : https://about.scienceopen.com/editorial-board/#more-30 , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,Yes via FAQ and about tabs,No,No,English,"Title, Author(s), Publication date , Publisher, Abstract, Identifier, Copyright statement, Data availability",,No,None,,,Yes,PDF,Any language (but English language abstract and title should be provided ),Research only,You may deposit data with your preprint,No,No,ORCID,"We are currently seeing how we can work with other organisations (e.g., Figshare, Zenodo) to increase the diversity of content types available on ScienceOpen.",Unrestricted,Authors must use CC BY 4.0 attribution license,Email administrator,Email administrator,Beforehand : editorial review to check for completeness and basic scholarly integrity in line with our general publication guidelines.,No,DOI,"No, only if the publisher imposes an embargo period",,Accepts new version. All version are available for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,No,,,,
self_journal_of_science_co_science,Self Journal of Science (Co-Science),2022-02-11,,,,,"CoScience is a scholarly commons centered around scholars and scientific debate. It recreates scientific communication as a virtuous, open, community-driven process.
It re-empowers every scholar into a fully fledged scientist, i.e. a researcher, reviewer and academic leader.",,,,,,,,,,,,,,https://www.sjscience.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semantic_web_journal,Semantic Web Journal,2022-02-11,,,,,"The journal Semantic Web – Interoperability, Usability, Applicability, in short Semantic Web journal, brings together researchers from various fields which share the vision and need for more effective and meaningful ways to share information across agents and services on the future internet and elsewhere.",,,,,,,,,,,,,,http://www.semantic-web-journal.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This seems to be more of a journal than a preprint directory,
socarxiv,SocArxiv,2022-02-11,"Research manuscripts only (Working papers, Preprint and Postprint)",None,,socarxiv@gmail.com,"SocArXiv, open archive of the social sciences, provides a free, non-profit, open access platform for social scientists to upload working papers, preprints, and published papers, with the option to link data and code.","Social sciences, arts and humanities, education, law","Social Science, OSF",2016-08-01,,,figshare_digital_science_preprint_framework,English,Full text : 8 177,Disciplinary,None,,Open,Yes,https://osf.io/preprints/socarxiv/,No,Nonprofit,"SocArXiv has been supported by grants from the Alfred P. Sloan Foundation and the Open Society Foundations, as well as the libraries at the University of Maryland, the University of California, Los Angeles, and the Massachusetts Institute of Technology.","The mission of the University of Maryland, College Park is to provide excellent teaching, research, and service.",The United States of America,The University of Maryland Libraries,UMD,https://umd.edu/,Academic institution,"Yes : SocArXiv is housed at the University of Maryland, and is directed by a steering committee of social scientists ","SocArXiv is housed at the University of Maryland, and is directed by a steering committee of members of the research library community.  ",Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,Yes via a tutorial,,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), License type(s), Subject category",Openly available via API,Yes,None,Yes : COS Preservation Fund to maintain read access for 50+ years,,Yes,"PDF, Word doc",English,Research only,"Any file you add to the project is given a unique, persistent URL, meaning that it can be cited or linked to individually",No,No,No,"Researchers can attach data, code, or other research materials to their papers by including them in the associated project. We also encourage sharing data and code on the Open Science Framework in the spirit of openness and transparency.",Unrestricted,All CC licenses,Email administrator; helpdesk support from COS,No,"Beforehand : Akismet spam filtering (automatic on all OSF content), Content within scope, Conflict of Interest, Data, code availability, Preregistration availability, All authors consent to posting",No,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",Less than 2 days,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Platform,Basic information remains on a tombstone page,Powered by OSF preprint,
sodha,SODHA – Social Sciences and Digital Humanities Archive,2022-02-11,,,,,"SODHA, the federal Belgian data archive for social sciences and the digital humanities!",,,,,,,,,,,,,,https://www.sodha.be/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sportrxiv,SportRxiv,2022-02-11,"All article types (including research manuscripts, commentaries, review articles, current opinions, case studies, technical reports, short communications), Preprints",None,,contact+sportrxiv@osf.io,"The open access subject repository for Sport, Exercise, Performance, and Health research.",Sport Science,"Sport Science, OSF",2017-08-01,,,,English and German,Full text : 370,Disciplinary,None,,Open,Yes,https://osf.io/preprints/sportrxiv,No,Nonprofit,Community operators pay a fee based on usage and COS subsidizes the other portion through fundraised support,"Encourage researchers within this field to prioritize research quality over publication quantity. We believe in providing education to empower researchers at all levels to adopt more rigorous research practices such as pre-registration, replication, open sharing of data, and sharing working documents (i.e., preprints) for feedback. As part of this initiative, we will deliver workshops with universities and funders to help researchers identify questionable research practices within the context of an incentivized publishing system and to explain the potential solutions.",International,"Society for Transparency, Openness, and Replication in Kinesiology",STORK,https://www.storkinesiology.org/,Scientific society,Yes : includes researchers , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,No,,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), License type(s), Subject category",Openly available via API,Yes,None,COS Preservation Fund to maintain read access for 50+ years,,Yes,"PDF, Word doc",English,Research only,"full text, figures, data, image, coding, analyses. This is associated with the article via a specific link",No,No,ORCID,,Unrestricted,"Authors are provided with a choice of licenses: CC0, CC BY, with CC BY preferred",Email administrator,Email administrator,"Beforehand : Akismet spam filtering (automatic on all OSF content), Content within scope. Conflict of Interest, Data, code availability, Preregistration availability, All authors consent to posting",No,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",3 to 5 business days,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,No,At author's request with moderator approval,Basic information remains on a tombstone page,Powered by OSF preprint,
